epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,15418,0.655,0.98276,0.01027,0.67688,0.48719,0.53457,0.29752,1.7925,1.80385,0.04273,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,15559.3,0.65335,0.9701,0.01021,0.68417,0.47013,0.5337,0.29922,1.79121,1.80648,0.04268,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,15700.7,0.64997,0.97468,0.0101,0.68572,0.47584,0.53249,0.29873,1.79053,1.80498,0.0426,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,15841.7,0.64816,0.98353,0.0103,0.68279,0.47353,0.53404,0.30018,1.78813,1.79868,0.04255,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,15983.3,0.64904,0.9633,0.0102,0.68652,0.46961,0.53645,0.30145,1.78993,1.79798,0.04262,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,16124.3,0.64651,0.96342,0.01021,0.66702,0.47728,0.53422,0.29956,1.78964,1.79645,0.04263,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,16265.6,0.64991,0.97661,0.01025,0.66111,0.4861,0.54065,0.30213,1.79166,1.78551,0.04269,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,16407.8,0.63939,0.94577,0.01006,0.66298,0.48341,0.54111,0.30515,1.78717,1.78654,0.04248,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,16548.2,0.64388,0.96514,0.01007,0.65309,0.48793,0.54054,0.30363,1.785,1.7871,0.04248,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,16689.8,0.64311,0.9388,0.01016,0.66783,0.4845,0.54134,0.30464,1.78517,1.78457,0.0425,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,16831.2,0.64588,0.94749,0.01019,0.6553,0.4911,0.54187,0.30503,1.77873,1.79003,0.04233,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,16972.1,0.63477,0.94082,0.01004,0.66816,0.48678,0.54731,0.30748,1.77795,1.78691,0.04227,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,17114.3,0.63749,0.93176,0.01013,0.67628,0.48322,0.54728,0.30801,1.78034,1.78591,0.04235,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,17256.7,0.64269,0.93551,0.01015,0.65118,0.49395,0.54544,0.30745,1.77628,1.79027,0.04224,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,17396.9,0.64994,0.94514,0.01022,0.66655,0.4843,0.54204,0.30567,1.77674,1.78924,0.04219,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,17539.3,0.6347,0.92975,0.01,0.68038,0.47713,0.54321,0.30692,1.77262,1.79291,0.04208,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,17680.7,0.63381,0.91795,0.00999,0.68557,0.47576,0.54557,0.308,1.77168,1.79264,0.0421,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,17821.2,0.62909,0.90735,0.00987,0.69086,0.47295,0.54571,0.30864,1.77208,1.78938,0.0421,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,17962.2,0.64005,0.90209,0.00991,0.69239,0.47627,0.54542,0.30941,1.7743,1.78433,0.04218,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,18104.6,0.62172,0.91685,0.00982,0.67509,0.48516,0.54814,0.3151,1.77736,1.77995,0.04226,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,18246.3,0.63617,0.90545,0.00988,0.67319,0.49166,0.5507,0.31379,1.77651,1.78132,0.04225,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,18387.7,0.63405,0.91356,0.00996,0.67313,0.49049,0.55455,0.3157,1.77659,1.77708,0.04227,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,18530.2,0.62566,0.90007,0.00988,0.67878,0.48398,0.55379,0.31615,1.77838,1.77268,0.04226,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,18671.9,0.62858,0.87944,0.00985,0.68541,0.48094,0.54944,0.31203,1.77983,1.76643,0.0423,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,18813.7,0.62519,0.87622,0.00978,0.67855,0.48421,0.54769,0.3114,1.77787,1.76672,0.04231,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,18955.4,0.62109,0.889,0.00983,0.68271,0.47924,0.55027,0.31191,1.77748,1.76965,0.0423,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
